Ações ação
e e
estratégias estratégia
para para
recuperação recuperação
de de
dificuldades dificuldade
dos de_o
aluno aluno
Reuniões reunião
dos de_o
professores professor
para para
discutir discutir
estratégias estratégia
e e
reuniões reunião
de de
validação validação
. .
Reuniões reunião
com com
professores professor
para para
verificar verificar
adequação adequação
do de_o
volume volume
de de
tarefas tarefa
e e
palestras palestra
aos a_o
alunos aluno
sobre sobre
gerenciamento gerenciamento
do de_o
tempo tempo
. .
Comunicação comunicação
transparente transparente
por por
parte parte
dos de_o
professores professor
Aproveitar aproveitar
comunicação comunicação
para para
passar passar
aos a_o
alunos aluno
conceitos conceito
de de
gerenciamento gerenciamento
do de_o
tempo tempo
e e
dosagem dosagem
de de
atividades atividade
Intensificar intensificar
a o
realização realização
de de
projetos projeto
durante durante
o o
período período
de de
aulas aula
Disseminação disseminação
da de_o
Cultura cultura
e e
da de_o
Arte arte
TRealiação trealiação
de de
palestras palestra
e e
workshops workshop
diversificados diversificar
, ,
abordando abordar
aspectos aspecto
culturais cultural
e e
artísticos artístico
Palestra palestra
na em_o
Semana semana
de de
Tecnologia tecnologia
sobre sobre
Intercâmbio intercâmbio
Autogerido autogerir
