Caracterização caracterização
socioeconômica socioeconômico
da de_o
área área
de de
abrangência abrangência
da de_o
Fatec fatec
São são
Bernardo bernardo
do de_o
Campo campo
está estar
localizado localizar
na em_o
região região
do de_o
Grande grande
ABC abc
( (
Figura figura
1 1
) )
que que
é ser
composta compor
pelas por_o
cidades cidade
de de
Santo santo
André andré
, ,
São são
Bernardo bernardo
do de_o
Campo campo
, ,
Diadema diadema
, ,
São são
Caetano caetano
do de_o
Sul sul
, ,
Mauá mauá
, ,
Ribeirão ribeirão
Pires pires
e e
Rio rio
Grande grande
da de_o
Serra serra
, ,
que que
possuem possuir
juntas juntar
população população
de de
2 2
, ,
6 6
milhões milhão
e e
da de_o
Região região
Metropolitana metropolitana
de de
SP sp
com com
população população
aproximada aproximar
de de
21 21
, ,
5 5
milhões milhão
de de
habitantes habitante
. .
Está estar
a a
22 22
km km
do de_o
marco marco
zero zero
da de_o
cidade cidade
de de
São são
Paulo paulo
. .
