APONTAMENTO apontamento
DE de
SITUAÇÕES-PROBLEMA situações-problema
MAIS mais
RELEVANTES relevante
1 1
Metodologia metodologia
de de
ensino ensino
, ,
desempenho desempenho
de de
alunos aluno
, ,
evasão evasão
2 2
Manutenção manutenção
e e
conservação conservação
predial predial
3 3
Infraestrutura infraestrutura
predial predial
( (
espaços espaço
, ,
sistemas sistema
) )
4 4
Quantidade quantidade
de de
professores professor
/ /
funcionários funcionário
5 5
Infraestrutura infraestrutura
laboratorial laboratorial
e e
ambientes ambiente
de de
ensino ensino
6 6
Participação participação
da de_o
comunidade comunidade
e e
sociedade sociedade
7 7
Materiais material
, ,
equipamentos equipamento
e e
mobiliários mobiliário
8 8
Acesso acesso
/ /
Inclusão inclusão
ao a_o
Ensino ensino
Superior superior
( (
social social
, ,
PCD pcd
) )
9 9
Falta faltar
de de
aquisição aquisição
de de
bibliografias bibliografia
para para
os o
novos novo
cursos curso
e e
atualização atualização
das de_o
bibliografias bibliografia
para para
os o
cursos curso
existentes existente
. .
10 10
Baixa baixar
demanda demanda
do de_o
vestibular vestibular
para para
os o
cursos curso
matutinos matutino
. .
