D d
- -
Fazer fazer
: :
Implementação implementação
de de
ações ação
corretivas corretivo
e e
melhorias melhoria
estratégicas estratégico
. .
1 1
. .
Educação educação
e e
suporte suporte
aos a_o
alunos aluno
: :
- -
Aulas aula
de de
recuperação recuperação
em em
disciplinas disciplina
críticas crítico
com com
ferramentas ferramenta
TEAMS teams
e e
MOODLE moodle
. .
- -
Apoio apoio
individualizado individualizar
no em_o
Trabalho trabalho
de de
Conclusão conclusão
de de
Curso curso
( (
TCC tcc
) )
. .
- -
Procedimento procedimento
padrão padrão
para para
identificação identificação
de de
alunos aluno
em em
risco risco
de de
evasão evasão
( (
falta falta
prolongada prolongar
ou ou
dispersão dispersão
) )
. .
2 2
. .
Infraestrutura infraestrutura
: :
- -
Reestruturação reestruturação
dos de_o
laboratórios laboratório
de de
informática informática
, ,
incluindo incluir
atualização atualização
de de
software software
e e
hardware hardware
. .
- -
Manutenção manutenção
predial predial
: :
pintura pintura
externa externo
e e
interna interno
, ,
iluminação iluminação
em em
LED led
, ,
reforma reforma
de de
quadras quadra
e e
acessibilidade acessibilidade
com com
instalação instalação
de de
piso piso
tátil tátil
. .
- -
Ampliação ampliação
da de_o
rede rede
Wi-Fi wi-fi
e e
melhorias melhoria
no em_o
coworking coworking
dos de_o
professores professor
. .
3 3
. .
Engajamento engajamento
com com
o o
mercado mercado
e e
empregabilidade empregabilidade
: :
- -
Desenvolvimento desenvolvimento
de de
projetos projeto
práticos prático
com com
empresas empresa
( (
ex ex
. .
: :
carro carro
elétrico elétrico
em em
parceria parceria
com com
a o
ECATU ecatu
) )
. .
- -
Parcerias parceria
com com
grandes grande
empresas empresa
como como
IBM ibm
, ,
SAP sap
, ,
GFT gft
e e
Coca-Cola coca-cola
para para
oportunidades oportunidade
de de
estágio estágio
e e
empregabilidade empregabilidade
. .
- -
Realização realização
de de
eventos evento
como como
" "
Semana semana
de de
Tecnologia tecnologia
" "
e e
" "
Hackatech hackatech
" "
para para
integração integração
entre entre
discentes discente
, ,
docentes docente
e e
o o
mercado mercado
. .
4 4
. .
Digitalização digitalização
de de
processos processo
administrativos administrativo
: :
- -
Expansão expansão
da de_o
Secretaria secretaria
Digital digital
, ,
reduzindo reduzir
o o
tempo tempo
de de
emissão emissão
de de
diplomas diploma
de de
2 2
anos ano
para para
2 2
meses mês
. .
- -
Informatização informatização
dos de_o
processos processo
de de
reserva reserva
de de
recursos recurso
e e
solicitações solicitação
de de
serviços serviço
. .
