Com com
relação relação
as o
políticas política
de de
pessoal pessoal
, ,
observamos observar
que que
67 67
% %
dos de_o
respondentes respondente
as elas
consideram considerar
muito muito
bom bom
ou ou
bom bom
. .
Quanto quanto
a o
organização organização
da de_o
gestão gestão
e e
da de_o
instituição instituição
verifica verificar
-se se
que que
45 45
% %
do de_o
total total
de de
respondentes respondente
, ,
consideram considerar
bom bom
ou ou
muito muito
bom bom
. .
Quando quando
detalhamos detalhar
as o
respostas resposta
, ,
90 90
% %
dos de_o
técnicos técnico
administrativos administrativo
, ,
71 71
% %
dos de_o
docentes docente
e e
34 34
% %
dos de_o
discentes discente
consideram considerar
bom bom
ou ou
muito muito
bom bom
. .
Vale valer
destacar destacar
que que
26 26
% %
dos de_o
discentes discente
consideram considerar
essa esse
dimensão dimensão
regular regular
e e
que que
outros outro
27 27
% %
não não
souberam saber
responder responder
. .
