Situação situação
problema problema
: :
cat cat
0 0
. .
1 1
. .
01 @card@
- -
Metodologia metodologia
de de
ensino ensino
, ,
desempenho desempenho
de de
alunos aluno
, ,
evasão evasão
( (
a a
ser ser
resolvida resolver
/ /
mitigada mitigar
) )
Ações ação
pedagógicas pedagógico
: :
visitas visita
técnicas técnico
, ,
projetos projeto
integradores integrador
/ /
interdisciplinares interdisciplinar
, ,
dias dia
de de
campo campo
, ,
feira feira
das de_o
profissões profissão
, ,
cursos curso
extracurriculares extracurricular
para para
alunos aluno
. .
O o
que que
será ser
feito fazer
: :
CENTRO centro
LÍNGUAS língua
ESTRANGEIRAS estrangeiro
. .
Por por
que que
será ser
feito fazer
: :
DIMUIR dimuir
A o
EVASÃO evasão
NAS em_o
DISCIPLINAS disciplina
DE de
LÍNGUAS língua
ESTRANGEIRAS estrangeiro
. .
