APONTAMENTO apontamento
DE de
SITUAÇÕES-PROBLEMA situações-problema
MAIS mais
RELEVANTES relevante
1 1
Gestão gestão
da de_o
unidade unidade
de de
ensino ensino
e e
dos de_o
cursos curso
( (
indicadores indicador
) )
2 2
Infraestrutura infraestrutura
laboratorial laboratorial
e e
ambientes ambiente
de de
ensino ensino
3 3
Metodologia metodologia
de de
ensino ensino
, ,
desempenho desempenho
de de
alunos aluno
, ,
evasão evasão
4 4
Manutenção manutenção
e e
conservação conservação
predial predial
5 5
Infraestrutura infraestrutura
predial predial
( (
espaços espaço
, ,
sistemas sistema
) )
6 6
Materiais material
, ,
equipamentos equipamento
e e
mobiliários mobiliário
7 7
Participação participação
da de_o
comunidade comunidade
e e
sociedade sociedade
8 8
Segurança segurança
pessoal pessoal
e e
patrimonial patrimonial
9 9
Baixa baixar
demanda demanda
dos de_o
cursos curso
da de_o
tarde tarde
