Comentários comentário
e e
Esclarecimentos esclarecimento
Adicionais adicional
quanto quanto
a a
Avaliação avaliação
das de_o
questões questão
com com
maior grande
número número
de de
erros erro
– -
FORMAÇÃO formação
GERAL geral
: :
Complementando complementar
as o
justificativas justificativo
das de_o
questões questão
de de
formação formação
geral geral
, ,
os o
temas tema
abordados abordar
, ,
são ser
considerados considerar
interdisciplinares interdisciplinar
e e
transversais transversal
, ,
não não
sendo ser
abordados abordar
em em
nenhuma nenhum
, ,
disciplina disciplina
específica específico
. .
A a
partir partir
do de_o
primeiro primeiro
semestre semestre
de de
2024 @card@
, ,
implementamos implementamos
o o
novo novo
PPC ppc
, ,
com com
a o
nova novo
grade grade
, ,
em em
que que
, ,
algumas algum
disciplinas disciplina
como como
( (
Projeto projeto
Integrador integrador
I i
, ,
II ii
, ,
III iii
, ,
IV iv
, ,
V v
, ,
E e
VI vi
) )
, ,
incluirão incluir
os o
conteúdos conteúdo
das de_o
questões questão
como como
maior grande
número número
de de
erros erro
em em
debates debate
em em
sala sala
de de
aula aula
. .
